strain,time,colour,bio.rep,tech.rep,cfu,dil,cfu.ml
none,6,white,2,1,0,1,0
none,6,white,2,2,0,1,0
none,6,white,2,3,0,1,0
SBW25,6,white,2,1,3,3,600000
SBW25,6,white,2,2,5,3,1000000
SBW25,6,white,2,3,4,3,800000
PK0307-4,6,white,2,1,7,3,1400000
PK0307-4,6,white,2,2,2,3,400000
PK0307-4,6,white,2,3,1,3,200000
PK0311-1,6,white,2,1,4,3,800000
PK0311-1,6,white,2,2,2,3,400000
PK0311-1,6,white,2,3,4,3,800000
none,24,blue,2,1,2,4,4000000
none,24,blue,2,2,4,4,8000000
none,24,blue,2,3,11,4,22000000
SBW25,24,blue,2,1,12,3,2400000
SBW25,24,blue,2,2,6,4,12000000
SBW25,24,blue,2,3,16,3,3200000
PK0307-4,24,blue,2,1,4,4,8000000
PK0307-4,24,blue,2,2,13,4,26000000
PK0307-4,24,blue,2,3,3,4,6000000
PK0311-1,24,blue,2,1,2,4,4000000
PK0311-1,24,blue,2,2,6,4,12000000
PK0311-1,24,blue,2,3,8,4,16000000
none,24,white,2,1,0,1,0
none,24,white,2,2,0,1,0
none,24,white,2,3,0,1,0
SBW25,24,white,2,1,11,4,22000000
SBW25,24,white,2,2,9,4,18000000
SBW25,24,white,2,3,7,3,1400000
PK0307-4,24,white,2,1,13,4,26000000
PK0307-4,24,white,2,2,11,4,22000000
PK0307-4,24,white,2,3,17,5,340000000
PK0311-1,24,white,2,1,15,4,30000000
PK0311-1,24,white,2,2,8,4,16000000
PK0311-1,24,white,2,3,5,4,10000000
none,48,blue,2,1,10,4,20000000
none,48,blue,2,2,3,5,60000000
none,48,blue,2,3,5,5,100000000
SBW25,48,blue,2,1,7,4,14000000
SBW25,48,blue,2,2,9,4,18000000
SBW25,48,blue,2,3,12,4,24000000
PK0307-4,48,blue,2,1,13,4,26000000
PK0307-4,48,blue,2,2,8,4,16000000
PK0307-4,48,blue,2,3,21,4,42000000
PK0311-1,48,blue,2,1,15,3,3000000
PK0311-1,48,blue,2,2,14,3,2800000
PK0311-1,48,blue,2,3,7,4,14000000
none,48,white,2,1,0,1,0
none,48,white,2,2,0,1,0
none,48,white,2,3,0,1,0
SBW25,48,white,2,1,13,4,26000000
SBW25,48,white,2,2,3,4,6000000
SBW25,48,white,2,3,8,4,16000000
PK0307-4,48,white,2,1,10,4,20000000
PK0307-4,48,white,2,2,7,4,14000000
PK0307-4,48,white,2,3,9,4,18000000
PK0311-1,48,white,2,1,5,2,100000
PK0311-1,48,white,2,2,6,3,1200000
PK0311-1,48,white,2,3,9,4,18000000
