locus_tag,gene_name,logFC,Pvalue,q.value
P_01405,hcaB_2,0.144105363,0.600886922,0.875712943
P_01406,csrA1_1,0.064948278,0.869819735,
P_01407,,-0.241647148,0.45999813,
P_01408,,-0.377252601,0.103986186,0.423756177
P_01409,gshAB,-0.211652714,0.343812498,0.724275059
P_01410,asnB_2,0.015446997,0.943412439,0.98097034
P_01411,mnmC_1,0.151622712,0.52984552,0.835245802
P_00014,,0.07215881,0.892293181,
P_00143,petA,0.213893634,0.334123813,0.716802091
P_01412,,-0.186014624,0.444686883,0.79697961
P_01413,fadA_2,0.015115869,0.954597904,0.984352242
P_01414,yhbE,-0.232371298,0.423663787,0.782583702
P_01415,,0.002024821,0.994096767,0.996765483
P_01416,fumC_2,-0.383758641,0.079389131,0.367432968
P_01417,,-0.168047669,0.45490511,0.799823229
P_01418,bolA,-0.091016307,0.702459969,0.918163191
P_01419,,0.329680111,0.154792059,0.506343337
P_01420,,-0.152769267,0.56133712,0.855620664
P_01421,,-0.049540308,0.83709064,0.95614808
P_00144,petB,0.118532398,0.619828043,0.883146147
P_01422,,0.220777123,0.356587483,0.733399916
P_01423,,-0.094117118,0.726694022,0.928567284
P_01424,,-0.18896107,0.426095112,0.784755308
P_01425,glpE_2,0.247068687,0.273666799,0.655726698
P_01426,,0.408203724,0.111696828,0.435023623
P_01427,bmrA,0.336056404,0.146697874,0.49317422
P_01428,,0.059099421,0.802631515,0.951993874
P_01429,,0.043353001,0.84788779,0.958412836
P_01430,,0.208633462,0.362265255,0.737362793
P_01431,lldD_2,0.347751745,0.241373244,0.618332693
P_00145,petC,-0.005532672,0.980477739,0.992670454
P_01432,cynR_2,-0.120120627,0.708201989,
P_01434,,0.652237781,0.167984692,
P_01435,,0.450616512,0.074628251,0.359660022
P_01436,,0.127890386,0.752864701,
P_01437,,-0.181261421,0.691844165,
P_01438,,-0.039253189,0.95154009,
P_01439,,0.188428741,0.597750529,
P_01440,,0.295093496,0.699364754,
P_01441,czcR_2,0.436476211,0.123684651,0.456935876
P_01442,sasA_4,0.627949374,0.020011468,0.163551055
P_00146,sspA,0.377260835,0.118256077,0.446147927
P_01443,,0.165260271,0.548193211,0.848250232
P_01444,,-1.093571612,0.106869701,
P_01445,,0.318261318,0.261132639,0.643782445
P_01446,,0.355925117,0.137811864,0.476477407
P_01447,,0.321793715,0.316175113,
P_01448,,-0.121805478,0.700742772,
P_01449,rhaS_3,-0.01637466,0.955020975,0.984352242
P_01450,,0.131256472,0.85534906,
P_01451,,0.309768548,0.17736057,0.541050462
P_01452,,0.514800921,0.069153268,0.343011229
P_00147,sspB,-0.045888647,0.845581823,0.95787105
P_01453,,0.038446263,0.883943308,0.966633691
P_01454,gbpA,-0.085924234,0.760177446,0.938289081
P_01455,chiD,-0.094156472,0.736073137,0.932259466
P_01456,gudD,0.169365855,0.633061989,
P_01457,ttuB_1,0.068503065,0.807411293,0.952831922
P_01458,lutR_2,-0.003710301,0.989036192,0.995343961
