locus_tag,gene_name,logFC,Pvalue,q.value
P_04556,yraJ_3,-0.048767714,0.6964044,0.763159224
P_00045,,1.43224953,5.90349E-23,5.39493E-22
P_00455,,0.448523857,0.022439491,0.041025881
P_04557,,-0.25160595,0.291462115,0.381372795
P_04558,lysN,1.009414896,2.14077E-19,1.67611E-18
P_04559,,1.125571865,0.000823508,0.001952132
P_04560,puuB_5,-0.410359117,0.000617649,0.00150008
P_04561,,0.057857472,0.560239264,0.646014293
P_04562,lrp_3,-0.106922437,0.54029249,0.628443169
P_04563,dadA1_2,1.47619238,2.2569E-106,1.2336E-104
P_04564,yabJ_4,1.188394954,2.37949E-27,2.57173E-26
P_04565,alr,0.846382648,5.87377E-24,5.57183E-23
P_04566,puuR_1,0.43976936,1.11896E-08,4.45643E-08
P_00456,,-0.054942325,0.744924125,0.80478637
P_04567,,0.375167192,8.48784E-09,3.42317E-08
P_04568,,0.082897357,0.269169659,0.357832909
P_04569,xpt,0.142161073,0.145440837,0.211741492
P_04570,rep_4,-0.608719121,2.49281E-05,7.23268E-05
P_04571,,-0.335065861,1.15282E-05,3.495E-05
P_04572,yfcG_1,0.229082645,0.024580158,0.044500167
P_04573,adeP,0.469907994,2.13008E-09,9.09563E-09
P_04574,rhtB_5,0.290187112,0.034633719,0.060451008
P_04575,,0.193496175,0.018339011,0.03430495
P_04576,pucM,1.387427969,2.07432E-41,3.60744E-40
P_00457,,-0.600277964,0.003676765,0.007823564
P_04577,,1.808032293,1.60142E-92,7.472E-91
P_04578,uao,1.607166442,4.40377E-68,1.38864E-66
P_04579,alc,1.60711318,1.0907E-111,6.2595E-110
P_04580,allA,1.482774541,1.30286E-45,2.49237E-44
P_04581,,1.337754038,2.50491E-56,6.16982E-55
P_04582,uacT_2,0.98006587,1.38359E-22,1.23875E-21
P_04583,,-0.231259975,0.481947675,0.572943455
P_04584,,-1.698167901,7.76224E-18,5.64607E-17
P_04585,lpxL_2,-0.485647835,4.54261E-05,0.000128234
P_04586,minC,-0.675084895,4.87089E-12,2.49145E-11
P_00458,pckA,0.289848412,0.003015958,0.006521697
P_04587,minD,-1.006989742,1.92836E-33,2.64125E-32
P_04588,minE,-1.303300482,2.09087E-15,1.32591E-14
P_04589,rluA,-0.171222726,0.300306708,0.39089594
P_04590,apeB,-0.2468178,0.004604937,0.009596127
P_04591,,0.31364658,0.009894077,0.019485967
P_04592,,-0.767121663,2.0188E-10,9.2539E-10
P_04593,yxeP,-1.837274606,2.83963E-82,1.16405E-80
P_04594,mbtH,-5.52157899,0,0
P_04595,dat,-4.621872996,0,0
P_04596,,0.519335963,2.88021E-09,1.21273E-08
P_00459,hslO,0.501820268,1.38922E-10,6.42444E-10
P_04597,hisP_3,0.217039889,0.062255619,0.101790597
P_04598,hisM_2,0.461515637,0.045255633,0.076886346
P_04599,hisQ_3,0.188367945,0.399014462,0.492461074
P_04600,hisJ_2,-0.37268119,0.056728142,0.093795104
P_04601,ocd,0.262292976,0.080905471,0.127570343
P_04602,,0.296820951,0.153663019,0.222078083
P_04603,ypeA,0.568220359,1.8844E-12,9.95819E-12
P_04604,ilvE,0.441668853,9.15992E-11,4.30187E-10
P_04605,lpdV,0.934834144,3.31009E-33,4.46979E-32
P_04606,bkdB,0.920077923,1.35434E-35,1.96276E-34
P_00460,lpxT_1,0.140837444,0.106969071,0.162510519
